Client Name,Lobbyist,ABN
1st Group,TG Public Affairs,23630677673
Asterion (Australia) Pty Ltd,Jeanes Holland  & Associates,41 059 328 853
Assistance Dogs Australia,Hawker Britton,79 109 681 405
Aurum Pacific,Next Level Strategic Services,27 613 857 668
ASYS COMPUTER CONSULTING PTY. LTD.,Walsh Stevens,18084661441
Aspley Australian Football and Sporting Club Ltd,DWS Hospitality Specialists,50 113 985 247
Aspen Medical Pty Ltd,Nexus APAC Pty Ltd,76 615 655 699
ASM Global,Jutsum Advisory Pty Ltd,68 973 583 422
ASE Group,BB Win Win Outcomes,91 671 079 056
Arora & Bunpan Pty Ltd,Precise Hospitality Licensing,46220117164
Ariane Space,Pynfall Pty Ltd,39 008 566 943
Zscaler,Hawker Britton,79 109 681 405
Zoetis Australia Pty Ltd,Willard Public Affairs Pty Ltd,17 165 851 856
ZIPMONEY PAYMENTS PTY LTD,Sling and Stone,87 145 965 466
Zero Mass Water (Australia) Pty Limited,GRACosway Pty Ltd,50 082 123 822
Zero Industrials,Jutsum Advisory Pty Ltd,68 973 583 422
Yumbah Aquaculture,Porter Novelli Australia Pty Ltd,40079616050
ATF Maritime Trade Towers Trust,DPG Advisory Solutions Pty Ltd,14 634 403 115
Youth Insearch,WELLS HASLEM MAYHEW STRATEGIC PUBLIC AFFAIRS,52 159 456 685
Young Change Agents,Fifty Acres - The Communications Agency,29 145 634 224
Ying Enterprise Pty Ltd ,Commercial Licensing Specialists,33 134 318 595
Yeronga Services  Club,Jacaranda Advisory,41 673 550 487
Yancoal Australia Limited,Statecraft Pty Ltd,90 116 598 924
Yabbr Pty Ltd,Anacta Strategies Pty Ltd,64 633 978 677
Yumba Meta Housing Association ,Next Level Strategic Services,27 613 857 668
XREF (AU) PTY LTD,Sling and Stone,87 145 965 466
XERO AUSTRALIA PTY LIMITED,Sling and Stone,87 145 965 466
XCOAL MINING SERVICES PTY LTD,Walsh Stevens,18084661441
Xamplify Group Pty Ltd,PYNE AND PARTNERS,81 634 747 363
WYWM SERVICES PTY LTD,Sling and Stone,87 145 965 466
WPP AUNZ,Hawker Britton,79 109 681 405
Wounded Heroes Australia,Kurrajong Strategic Counsel,14 625 954 912
World Surf League Australia,Next Level Strategic Services,27 613 857 668
WorkHaven Pty Ltd,Anacta Strategies Pty Ltd,64 633 978 677
Woorim Developments Pty Ltd as Trustee for the Woorim Developments Trust,Precise Hospitality Licensing,46220117164
Within Energy Pty Ltd,advico,52658982471
Wing Aviation Pty Ltd,SEC Newgate,38162366056
Windlabsystems,SEC Newgate,38162366056
Ateco Group,Iemma Patterson Premier Advisory,53 830 148 273
WINC AUSTRALIA & NEW ZEALAND PTY LTD,Cornerstone Group,9915 3936 719
Wik Timber Holdings Pty Ltd,Candra Business Advisers,26 116 275 382
Wik Projects Limited,Candra Business Advisers,26 116 275 382
WHITSUNDAY SPORT PARK INC,Jacaranda Advisory,41 673 550 487
White Ribbon Australia,Primary Communication,36617864347
Wesfarmers Limited,DPG Advisory Solutions Pty Ltd,14 634 403 115
WE Platt,Kurrajong Strategic Counsel,14 625 954 912
Wave Parks Australia,Project Urban Pty Ltd,97 608 895 923
Wanless Waste Management Pty Ltd,Anacta Strategies Pty Ltd,64 633 978 677
ATN Technology Group of Universities,The Write Connection,55 073 965 616
Watpac Construction (Qld) Pty Ltd ,Anacta Strategies Pty Ltd,64 633 978 677
Wambo Cattle Company,PolicyWonks,50 463 070 316
Wabtec,PolicyWonks,50 463 070 316
W & M Carnall Pty Ltd ,Adams + Sparkes Town Planning and Development,39 290 334 500
VNP Corporation Pty Ltd,Commercial Licensing Specialists,33 134 318 595
Viva Energy Australia,TG Public Affairs,23630677673
Vitale Projects Pty Ltd,Jutsum Advisory Pty Ltd,68 973 583 422
Visy Industries Pty Ltd,The Fifth Estate,51 069 838 222
Virsec,Capital Integrity,99 649 180 898
Virginia United Football Club Inc,Liquor Licensing Consultants,58 679 042 968
Vintage Energy,Conlon Advisory,11 951 391 072
Wounds Australia Limited,Watt Advocacy & Communications,16 642 238 702
Villawood Properties,Spring Street Advisory,92 603 411 650
Village Fair Investments Pty Ltd aft the Beerwah Marketplace,Anna Grosskreutz Consulting,75 726 352 169
Viking  River Cruises Australia Pty Ltd,Primary Communication,36617864347
Victorian Trailers Pty Ltd,GRACosway Pty Ltd,50 082 123 822
White Wind Project No 1 Pty Ltd,Anacta Strategies Pty Ltd,64 633 978 677
Vicinity Centres PM Pty Ltd,The Civic Group,57 157 925 365
Viatris Pty Ltd,Nexus APAC Pty Ltd,76 615 655 699
WestRex,Social Impact (Qld),13 112 982 323
Ausenco Pty Ltd,Next Level Strategic Services,27 613 857 668
Vertex Pharmaceuticals (Australia) Pty Ltd,Willard Public Affairs Pty Ltd,17 165 851 856
Vaxxas,Royce Comm,91 167 042 408
Vast Solar Pty Ltd,Anacta Strategies Pty Ltd,64 633 978 677
Varley Rafael Australia,Outcomes & Strategies Group,20 018 352 673
Vanguard Health,TG Public Affairs,23630677673
V2 FOOD PTY LTD,FPL Advisory,34123819385
URBNSURF GROUP Pty Ltd,GRACosway Pty Ltd,50 082 123 822
Urbis Pty Ltd ,Marketplace Communications,23 011 007 293
Urbanity Projects,Jutsum Advisory Pty Ltd,68 973 583 422
URANNAH WATER SCHEME PTY LTD,Anacta Strategies Pty Ltd,64 633 978 677
Varley Pty Ltd,Outcomes & Strategies Group,20 018 352 673
Upjohn Australia,Nexus APAC Pty Ltd,76 615 655 699
Unovino Pty Ltd,Precise Hospitality Licensing,46220117164
Unitywater,Anacta Strategies Pty Ltd,64 633 978 677
United Petroleum,PolicyWonks,50 463 070 316
AstraZeneca Pty Ltd,Ogilvy PR Agency Pty Limited,89 096 965 794
United Petroleum Pty Ltd,CT Group,72600464855
UGL Pty Limited,TG Public Affairs,23630677673
UFC,CPR Communications and Public Relations Pty Ltd (Melbourne),"ABN 94064357544, ACN 064357544"
Uber,Hawker Britton,79 109 681 405
U.S. Chamber of Commerce,Willard Public Affairs Pty Ltd,17 165 851 856
Tursiops Pty Ltd atf P.L Lynch Family Trust,Commercial Licensing Specialists,33 134 318 595
Tuckeria Pty Ltd,Commercial Licensing Specialists,33 134 318 595
Trustgrid Pty Ltd,PremierNational,71 619 450 841
Tri-Star,Northstar Public Affairs Pty Ltd,25 638 744 046
Triple P International Pty Ltd,Primary Communication,36617864347
Trinity Health Enterprise (HK) Limited,Christmas Jalili,26614088881
Tresillian Family Care Centres,Kurrajong Strategic Counsel,14 625 954 912
TWITTER AUSTRALIA HOLDINGS PTY LIMITED,Sling and Stone,87 145 965 466
Transgrid,Northstar Public Affairs Pty Ltd,25 638 744 046
Vestas Australia,Spring Street Advisory,92 603 411 650
TPG Telecom,TG Public Affairs,23630677673
TriCare,Promedia Public Relations,52 010 453 826
Trailers Downunder Pty Ltd,GRACosway Pty Ltd,50 082 123 822
Tindo Solar,Wilkinson Butler,95164204111
Village Road Show,Govstrat Pty Ltd,64 964 952 044
Tieri Country Club Inc,Liquor Licensing Consultants,58 679 042 968
Ti Tree bioENERGY,Social Impact (Qld),13 112 982 323
Thoroughbred Breeders Australia,Preferment Associates,30432308596
TheirCare Pty Ltd,GRACosway Pty Ltd,50 082 123 822
The Walt Disney Company,The Inner Circle Strategic Advisory,75634265311
The University of Notre Dame Australia,TG Public Affairs,23630677673
The University of Adelaide,Jeanes Holland  & Associates,41 059 328 853
the trustee for the Elementsnq unit trust,Empower Pty Ltd,33633821366
TOMRA Group,Cornerstone Group,9915 3936 719
The Shell Company of Australia Ltd,TG Public Affairs,23630677673
The Royal Australian College of General Practitioners Ltd (RACGP),GRACosway Pty Ltd,50 082 123 822
The Rising Sun Restaurant & Bar,Commercial Licensing Specialists,33 134 318 595
VERTO,Atlas Alliance,606084913
The Platinum Empire Pty Ltd,Commercial Licensing Specialists,33 134 318 595
The Peer Support Foundation Ltd (ABN 40 002 634 853),Australian Public Affairs,20 098 705 403
The National Council of the Young Men's Christian Associations of Australia,GRACosway Pty Ltd,50 082 123 822
The Monte Family Trust,Jutsum Advisory Pty Ltd,68 973 583 422
Townsville and District Rugby Union,Empower Pty Ltd,33633821366
The Minderoo Foundation,SEC Newgate,38162366056
TITOMIC LIMITED,PYNE AND PARTNERS,81 634 747 363
The Linden Group Pty Ltd,GR Solutions,28 125 233 543
The Kids Cancer Project,Kurrajong Strategic Counsel,14 625 954 912
The Jungle Village Pty Ltd,Commercial Licensing Specialists,33 134 318 595
The Pharmacy Guild of Australia Queensland Branch,Hawker Britton,79 109 681 405
The Jetty Specialists,Project Urban Pty Ltd,97 608 895 923
The Hi Fi Brisbane Pty Ltd,Commercial Licensing Specialists,33 134 318 595
The Don Moffatt Family Trust,Hawker Britton,79 109 681 405
The Digital Filing Company Pty Ltd,Santoro Consulting,21 131 482 230
The Crane Industry Council of Australia,Hawker Britton,79 109 681 405
The Club Hotel 1938 Pty Ltd,Liquor Licensing Consultants,58 679 042 968
The Escape Group Pty Ltd,Commercial Licensing Specialists,33 134 318 595
The Butterfly Foundation,Primary Communication,36617864347
The Better Health Generation Australia & UK,BB Win Win Outcomes,91 671 079 056
Texthelp Pty Ltd,Sling and Stone,87 145 965 466
Titan Fibre Networks Pty Ltd,SAS Group,33 136 520 548
Tewantin Noosa RSL,DWS Hospitality Specialists,50 113 985 247
Tetra Pak,FTI Consulting,49 160 397 811
Test Client Only,Test Only,12 345 678 910
Test Client 2 Only,Test Only,12 345 678 910
The Trustee for Future Super Fund,Sling and Stone,87 145 965 466
Tellus Holdings,Fitzpatrick Advisory,24 524 372 289
TechnologyOne,Santoro Consulting,21 131 482 230
test,Test by QIC 4,111111111
TCC OPERATIONS PTY LTD,Liquor Licensing Consultants,58 679 042 968
The Australian Energy Foundation,PremierNational,71 619 450 841
Tap House Pty Ltd,Commercial Licensing Specialists,33 134 318 595
The Nature Conservancy,Diplomacy,17148998645
TALi Health,Kurrajong Strategic Counsel,14 625 954 912
SYPAQ SYSTEMS PTY LTD,CMAX Advisory,73 130 740 546
SynBio,Social Impact (Qld),13 112 982 323
Sympli Australia Pty Ltd,FTI Consulting,49 160 397 811
TAMAYA PTY LTD,Cornerstone Group,9915 3936 719
Switch Health,GRACosway Pty Ltd,50 082 123 822
The Millmerran Rail Group,PolicyWonks,50 463 070 316
Tabcorp Holdings,Govstrat Pty Ltd,64 964 952 044
Swiss Re,WELLS HASLEM MAYHEW STRATEGIC PUBLIC AFFAIRS,52 159 456 685
Swifts Leagues Club,Jacaranda Advisory,41 673 550 487
Svitzer,Wilkinson Butler,95164204111
Surf Life Saving Queensland,The Inner Circle Strategic Advisory,75634265311
Sureway Employment and Training,TG Public Affairs,23630677673
Swyftx,DPG Advisory Solutions Pty Ltd,14 634 403 115
Sunshine Coast Orthopaedic Group,Anacta Strategies Pty Ltd,64 633 978 677
The McKinnon Institute for Political Leadership,Barton Deakin,65 140 067 287
Sunset Power International Pty Ltd Trading as Delta Electricity,John Short,62880904917
Sunday Hospitality Group Pty Ltd,Precise Hospitality Licensing,46220117164
TeamKids,GRACosway Pty Ltd,50 082 123 822
Sun Tourism Pty Ltd,Commercial Licensing Specialists,33 134 318 595
Sunshine Hospice,Project Urban Pty Ltd,97 608 895 923
Sun Saltwater Creek Hotel Pty Ltd,Jacaranda Advisory,41 673 550 487
Sun Metals Corporation,Govstrat Pty Ltd,64 964 952 044
Sunnybank Community & Sports Club,Zealifi,66 129 799 408
Sun Helensvale Tavern Pty Ltd ATF Sun Helensvale Tavern Discretionary Trust,Jacaranda Advisory,41 673 550 487
Study Group ,Primary Communication,36617864347
Stryker,CMAX Advisory,73 130 740 546
Sun Stafford Tavern Pty Ltd,Jacaranda Advisory,41 673 550 487
Switch Distillery Pty Ltd,Precise Hospitality Licensing,46220117164
Streem Pty Ltd,Anacta Strategies Pty Ltd,64 633 978 677
Sun Hotel Enterprise Pty Ltd,Jacaranda Advisory,41 673 550 487
Suncoast Cafes Pty Ltd,Liquor Licensing Consultants,58 679 042 968
Stormwater360 Australia ,Santoro Consulting,21 131 482 230
Stormbringer Studios Pty Ltd,TG Public Affairs,23630677673
Strong Room Technology Pty Ltd,TG Public Affairs,23630677673
Sunshine Coast Airport,Next Level Strategic Services,27 613 857 668
STM Brisbane Pty Ltd,Jacaranda Advisory,41 673 550 487
Stillbirth Foundation Australia,Australian Public Affairs,20 098 705 403
Strand Properties Townsville Pty Ltd,Commercial Licensing Specialists,33 134 318 595
Stayz,Hawker Britton,79 109 681 405
Star Scientific,Hawker Britton,79 109 681 405
Star Entertainment Group,Govstrat Pty Ltd,64 964 952 044
Stanthorpe RSL Services Club Inc,DWS Hospitality Specialists,50 113 985 247
Stockland,DPG Advisory Solutions Pty Ltd,14 634 403 115
StandbyU Foundation,BB Win Win Outcomes,91 671 079 056
Standards Australia,TG Public Affairs,23630677673
St Francis Group,GRA Partners Pty Limited,56 131 702 755
Sterlite Technologies Pty Ltd,SAS Group,33 136 520 548
Springfield Land Corporation,Govstrat Pty Ltd,64 964 952 044
Story Bridge Adventure Climb,Forrester Consulting,48 697 260 710
Springbok Foods Pty Ltd,Commercial Licensing Specialists,33 134 318 595
SPM Assets Pty Ltd,Federation Public Affairs,19 642 230 162
Spirits and Cocktails Australia,Hawker Britton,79 109 681 405
Spirit Hotels Group ,DWS Hospitality Specialists,50 113 985 247
Spinal Life Australia,PolicyWonks,50 463 070 316
Southern Pacific Flight Training,Australian Strategic Advisory,51623355377
Southern Cross Community Healthcare,SEC Newgate,38162366056
southern cross community healthcare,SEC Newgate,38162366056
Spotlight Property Group,Hawker Britton,79 109 681 405
South Rugby League,Social Impact (Qld),13 112 982 323
South Burnett Regional Council,Taylor Connect,39 632 234 916
Source Global,GRACosway Pty Ltd,50 082 123 822
St Baker Energy Innovation Fund,John Short,62880904917
Sonic Innovations Pty Ltd,Primary Communication,36617864347
Sonic Healthcare,Nexus APAC Pty Ltd,76 615 655 699
South Sky Assets Pty Ltd ,Commercial Licensing Specialists,33 134 318 595
Somerset Regional Council,Precise Hospitality Licensing,46220117164
Soldier On,CMAX Advisory,73 130 740 546
Strike Australia Pty Ltd,Liquor Licensing Consultants,58 679 042 968
SoftwareONE,Hawker Britton,79 109 681 405
Smiling Mind,Primary Communication,36617864347
Smart Pups Assistance Dogs for Special Needs Children Inc,Anacta Strategies Pty Ltd,64 633 978 677
Smart Energy Council,PremierNational,71 619 450 841
Smart Capital Group,SAS Group,33 136 520 548
SMA Technology Australia Pty Ltd ,Ogilvy PR Agency Pty Limited,89 096 965 794
SLACK AUSTRALIA PTY LTD,Sling and Stone,87 145 965 466
Skyborne Technologies Pty Ltd,Jutsum Advisory Pty Ltd,68 973 583 422
SkillsLogiQ,PolicyWonks,50 463 070 316
SIXDegrees Hospitality Group,GRA Partners Pty Limited,56 131 702 755
Sirrom Corporation (Aust.) Pty Ltd,Liquor Licensing Consultants,58 679 042 968
Sing's Vietnamese Kitchen Pty Ltd,Jacaranda Advisory,41 673 550 487
Simon James Pty Ltd ,Commercial Licensing Specialists,33 134 318 595
Silver Lake Partners,TG Public Affairs,23630677673
Silver Chain Group,Hawker Britton,79 109 681 405
Stanmore Resources Limited,Rowland Pty Ltd,59 011 033 364
Silanna Group,PolicyWonks,50 463 070 316
Southern Oil refining,Social Impact (Qld),13 112 982 323
Showbar140 Pty Ltd ,Commercial Licensing Specialists,33 134 318 595
Shooters JV Pty Ltd,Commercial Licensing Specialists,33 134 318 595
Shine Justice Ltd,Anacta Strategies Pty Ltd,64 633 978 677
Shibui Qld Pty Ltd ATF Shibui Unit Trust ,Commercial Licensing Specialists,33 134 318 595
Sherwood Services Club ,DWS Hospitality Specialists,50 113 985 247
Shell,Next Level Strategic Services,27 613 857 668
Sign Site Group Pty Ltd,Santoro Consulting,21 131 482 230
Soul Safe Pty Ltd,CT Group,72600464855
Sims Metal Management,TG Public Affairs,23630677673
Sexcess Pty Ltd,Commercial Licensing Specialists,33 134 318 595
Seven West Media,TG Public Affairs,23630677673
Serco Group Pty Ltd,CT Group,72600464855
SENDLE PTY LTD,Sling and Stone,87 145 965 466
Seek Limited,Cornerstone Group,9915 3936 719
Smart Group Corporation,Profile Consulting (Aust) Pty Ltd,47 166 122 434
SECORA,CMAX Advisory,73 130 740 546
SeaSwift,Anacta Strategies Pty Ltd,64 633 978 677
Seacliff Developments Pty Ltd,GR Solutions,28 125 233 543
Sherdar Australia Bio Refinery Pty Ltd,CT Group,72600464855
SEA Electric,PolicyWonks,50 463 070 316
Sekisui House Australia Pty Ltd,SAS Group,33 136 520 548
Scouts Australia,Primary Communication,36617864347
Shardiez Pty Ltd ATF McCormack Family Trust,Jacaranda Advisory,41 673 550 487
Shahnameh Group Pty Ltd,Precise Hospitality Licensing,46220117164
Saunders Havill Group,Santoro Consulting,21 131 482 230
Saorsa Health,Social Impact (Qld),13 112 982 323
Santinos Restaurant Pty Ltd ,Commercial Licensing Specialists,33 134 318 595
Santé Group,Hawker Britton,79 109 681 405
Sands - Miscarriage Stillbirth Newborn Death Support,GRACosway Pty Ltd,50 082 123 822
Sandmore Marketing Pty Ltd ATF WEK Business Trust ,Commercial Licensing Specialists,33 134 318 595
Schlumberger Australia Pty Ltd,Edelman Public Relations Worldwide Pty Ltd,40 004 846 100
secret squiggle pty ltd,Liquor Licensing Consultants,58 679 042 968
Say Less Café and Bar Pty Ltd,Precise Hospitality Licensing,46220117164
Salter Brothers Group,LK Creative Pty Ltd,ACN 140  857 432
SAP Australia Pty Ltd,Next Level Strategic Services,27 613 857 668
Salesforce,PolicyWonks,50 463 070 316
Salcef S.p.A,Santoro Consulting,21 131 482 230
Saga Hospitality Group Pty Ltd,Commercial Licensing Specialists,33 134 318 595
Samsung Electronics Australia,Edelman Public Relations Worldwide Pty Ltd,40 004 846 100
Samstone Pty Ltd ,Cornerstone Group,9915 3936 719
Salt House Pty Ltd,Commercial Licensing Specialists,33 134 318 595
Salary Packaging Australia Pty Ltd,Anacta Strategies Pty Ltd,64 633 978 677
Rural Bank,Porter Novelli Australia Pty Ltd,40079616050
Safety Australia Group,Government and Corporate Advisory Network,14 641 055 272
RT & JA Duncan ATF RT & JA Duncan Family Trust,Jacaranda Advisory,41 673 550 487
SAAB,TG Public Affairs,23630677673
RPS AAP CONSULTING PTY LTD,SAS Group,33 136 520 548
Rural Funds Management,TG Public Affairs,23630677673
Royal Caribbean,Richardson Coutts Pty Ltd,20 126 507 211
"Royal Caribbean Cruises Limited, USA",FIPRA Australia,50 078 482 596
Royal Caribbean Cruises Australia P/L,FIPRA Australia,50 078 482 596
Rodd & Gunn Australia Pty Ltd,Liquor Licensing Consultants,58 679 042 968
Roche,Ogilvy PR Agency Pty Limited,89 096 965 794
Robina Group,Promedia Public Relations,52 010 453 826
Roberts Pizzarotti Pty Limited,PremierNational,71 619 450 841
RMG HYDROGEN TECHNOLOGIES PTY LTD,Counsel House Pty Ltd,35 631 919 009
Riverside Marine,PolicyWonks,50 463 070 316
Riverside Industrial Sands,PolicyWonks,50 463 070 316
Riverlife,Forrester Consulting,48 697 260 710
Rivergate Marina and Shipyard,Empower Pty Ltd,33633821366
S.E.L.F. Noosa Pty Ltd as Trustee for the NFM Unit Trust trading as Noosa Farmers Market,Strategic Pathways Consulting,ABN 56242935104
Risk 2 Solution Holdings Pty Ltd,Santoro Consulting,21 131 482 230
Salerno Law,Staerk Government and Media,32 844 592 574
Ripley Town Holdings Pty Ltd,SAS Group,33 136 520 548
Ripley Projects,PolicyWonks,50 463 070 316
Ruedas Business Investment Pty Ltd ,Commercial Licensing Specialists,33 134 318 595
RSM Australia Pty Ltd,BBS Communications Group Pty Ltd,34 010 899 779
Rhomberg Rail Australia,The Premier Communications Group,7313 750 8555
Rheinmetall Defence,TG Public Affairs,23630677673
Rio Tinto,DPG Advisory Solutions Pty Ltd,14 634 403 115
Rockpool Rac Pty Ltd,Liquor Licensing Consultants,58 679 042 968
Rex Energy Pty Ltd,Staerk Government and Media,32 844 592 574
RETURNED & SERVICES LEAGUE OF AUSTRALIA (QUEENSLAND BRANCH) KEDRON-WAVELL SUB BRANCH INCORPORATED,Strategic Political Counsel,24613884763
Rise-bakery Pty Ltd,Precise Hospitality Licensing,46220117164
Retail Guild,Govstrat Pty Ltd,64 964 952 044
Responsible Wagering Australia Holdings Ltd,GRACosway Pty Ltd,50 082 123 822
Rio Tinto Ltd,Govstrat Pty Ltd,64 964 952 044
RESPONSE GROUP INTERNATIONAL PTY LTD,Taylor Connect,39 632 234 916
Ridgeway Mak Pty Ltd,Commercial Licensing Specialists,33 134 318 595
ResourceCo,LK Creative Pty Ltd,ACN 140  857 432
ResMed Pty Ltd,Nexus APAC Pty Ltd,76 615 655 699
RES Australia,Spring Street Advisory,92 603 411 650
RemServ,Next Level Strategic Services,27 613 857 668
Rino Recycling,Social Impact (Qld),13 112 982 323
Remondis,CT Group,72600464855
REMONDIS Australia,Next Level Strategic Services,27 613 857 668
Regis Aged Care Pty Ltd,TG Public Affairs,23630677673
REFINITIV,CRISIS&COMMS CO,56 637 786 899
Redman Solutions Pty Ltd,Anacta Strategies Pty Ltd,64 633 978 677
Redkite,Nexus APAC Pty Ltd,76 615 655 699
RG Property,Hawker Britton,79 109 681 405
Redbank Nominees Pty Ltd,Commercial Licensing Specialists,33 134 318 595
Red Nose Limited,GRACosway Pty Ltd,50 082 123 822
"Recruitment, Consulting & Staffing Association",DPG Advisory Solutions Pty Ltd,14 634 403 115
RateSetter Australia RE Limited,GRACosway Pty Ltd,50 082 123 822
Rare Voices Australia,Ogilvy PR Agency Pty Limited,89 096 965 794
Ramsay Health Care,Next Level Strategic Services,27 613 857 668
Rainbow Bay Surf Life Savers Supporters Association Inc,DWS Hospitality Specialists,50 113 985 247
Responsible Energy,Jutsum Advisory Pty Ltd,68 973 583 422
Racing Australia,DPG Advisory Solutions Pty Ltd,14 634 403 115
QUINBROOK INFRASTRUCTURE PARTNERS PTY LTD,Govstrat Pty Ltd,64 964 952 044
Returned & Services League of Australia (Queensland Branch),Cannings Purple,37 108 802 366
Resort Brokers Asia Pacific,Spring Street Advisory,92 603 411 650
Queensland Resources Council,PolicyWonks,50 463 070 316
Queensland Pacific Metals Pty Ltd,Digby McLeay Consulting,81 165 559 339
Queensland Motorways Pty Ltd ,Anacta Strategies Pty Ltd,64 633 978 677
Qube Logistics,Taylor Connect,39 632 234 916
Quandamooka Yoolooburrabee Aboriginal Corporation,The Premier Communications Group,7313 750 8555
QTECTIC,Govstrat Pty Ltd,64 964 952 044
Quickcell Technology Products,PolicyWonks,50 463 070 316
Refrigerated Warehouse & Transport Association of Australia,Kurrajong Strategic Counsel,14 625 954 912
Qld Taxi Licence Owners,Mission Consulting Solutions,32660516974
"Qld Hotel & Liquor Group Pty Ltd atf The Windsor Hotel & Motel, Dalby Unit Trust",Commercial Licensing Specialists,33 134 318 595
Queensland Maritime Museum Association,Santoro Consulting,21 131 482 230
Q-bital Healthcare Solutions Pty Ltd,The Civic Group,57 157 925 365
QBE Management Services Pty Ltd,Counsel House Pty Ltd,35 631 919 009
QBE Insurance Australia Ltd,Hawker Britton,79 109 681 405
Prosegur Australia Pty Limited,GRACosway Pty Ltd,50 082 123 822
Property Leaders Brisbane,BBS Communications Group Pty Ltd,34 010 899 779
Property Exchange Australia Ltd,Profile Consulting (Aust) Pty Ltd,47 166 122 434
Proper Pizza Cafe Bar Pty Ltd,Liquor Licensing Consultants,58 679 042 968
Project Urban Pty Ltd,Project Urban Pty Ltd,97 608 895 923
QER Pty Ltd,Anacta Strategies Pty Ltd,64 633 978 677
Pro-invest Hotel Operating Sunshine Coast Pty Ltd,Liquor Licensing Consultants,58 679 042 968
Professional Standards Council,Primary Communication,36617864347
Prime Super Pty Ltd,TG Public Affairs,23630677673
QM Properties,Marketplace Communications,23 011 007 293
Primary Care Business Council (ABN 93 657 214 376),Australian Public Affairs,20 098 705 403
PreveCeutical (Australia) Pty Ltd,Jeanes Holland  & Associates,41 059 328 853
Pratt Holdings Pty Ltd,The Fifth Estate,51 069 838 222
Radiation Therapy Advisory Group,The Civic Group,57 157 925 365
Powerhouse Hub,TONY ROLFE Consulting,98 274 701 278
Private Healthcare Australia,DPG Advisory Solutions Pty Ltd,14 634 403 115
Poseidon Sea Pilots Pty Ltd,Anacta Strategies Pty Ltd,64 633 978 677
Prime Investment Group Holdings Pty Ltd,Precise Hospitality Licensing,46220117164
Port Waratah Coal Services Limited ,TG Public Affairs,23630677673
Port of Brisbane Pty Ltd ,Govstrat Pty Ltd,64 964 952 044
Queensland Cricketers Club,Social Impact (Qld),13 112 982 323
PointsBet Australia Pty Ltd,Cornerstone Group,9915 3936 719
Power Ledger,Strategic Political Counsel,24613884763
